"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"08:32:40 2025-November-17","f","0005","50.12969589","8.67326259","0","0",
"08:33:05 2025-November-17","f","0005","50.13232266","8.67244","0","0",
"08:33:10 2025-November-17","f","0007","50.13544887","8.67143637","107.75606918","38.85",
"08:33:15 2025-November-17","f","0007","50.13581167","8.67161194","123.24618149","38.85",
"08:33:20 2025-November-17","f","0007","50.13629025","8.67150242","123.13692856","38.85",
"08:33:25 2025-November-17","f","0008","50.13668251","8.67138752","125.14212249","11.71",
"08:33:30 2025-November-17","f","0008","50.13703676","8.67122636","125.88717706","11.71",
"08:34:00 2025-November-17","f","0008","50.13723263","8.67112522","123.1497307","11.71",
"08:34:05 2025-November-17","f","0009","50.13763418","8.67095613","123.88244287","14.81",
"08:34:10 2025-November-17","f","0009","50.13790822","8.67080162","123.73510975","14.81",
"08:34:18 2025-November-17","f","0009","50.13808221","8.67071906","123.40054523","14.81",
"08:34:43 2025-November-17","f","0010","50.13824993","8.67060256","123.7129915","1.98",
"08:34:48 2025-November-17","f","0011","50.13854577","8.67051278","123.94368878","24.27",
"08:34:53 2025-November-17","f","0011","50.13886508","8.67046856","124.56089687","24.27",
"08:34:58 2025-November-17","f","0012","50.13924541","8.67040473","125.0155071","36.98",
"08:35:03 2025-November-17","f","0012","50.13968565","8.67018124","124.25056792","36.98",
"08:35:08 2025-November-17","f","0013","50.14026215","8.66986644","124.63316254","51.13",
"08:35:13 2025-November-17","f","0013","50.14088337","8.66952216","124.77829313","51.13",
"08:35:18 2025-November-17","f","0014","50.14142051","8.66923928","125.03528779","40.06",
"08:35:23 2025-November-17","f","0014","50.14181136","8.66904041","124.42200675","40.06",
"08:35:28 2025-November-17","f","0015","50.14217581","8.66889004","123.3637312","34.19",
"08:35:33 2025-November-17","f","0015","50.14266675","8.66887896","123.99976452","34.19",
"08:35:38 2025-November-17","f","0016","50.14304239","8.66885974","124.76069802","4.74",
"08:36:22 2025-November-17","f","0016","50.14322287","8.66883738","123.76682156","4.74",
"08:36:27 2025-November-17","f","0017","50.14341221","8.66879304","124.42189808","31.6",
"08:36:32 2025-November-17","f","0017","50.14381969","8.66866892","124.99553355","31.6",
"08:36:37 2025-November-17","f","0018","50.14418957","8.66849467","125.06105152","42.9",
"08:36:42 2025-November-17","f","0018","50.14478287","8.66822598","124.74206546","42.9",
"08:36:47 2025-November-17","f","0019","50.14539179","8.66797567","125.21812343","49.35",
"08:36:52 2025-November-17","f","0019","50.14597241","8.66769722","124.34527268","49.35",
"08:36:57 2025-November-17","f","0020","50.146527","8.66743191","123.37904072","45.57",
"08:37:02 2025-November-17","f","0022","50.14703946","8.66716912","122.76876935","5.9",
"08:37:07 2025-November-17","f","0022","50.14735998","8.6669486","123.06451616","5.9",
"08:37:44 2025-November-17","f","0022","50.14754373","8.66680567","123.27138688","5.9",
"08:37:49 2025-November-17","f","0023","50.14788175","8.66650135","122.63006127","31.74",
"08:37:54 2025-November-17","f","0023","50.14829234","8.66610456","121.34153418","31.74",
