index,lat,lon
0,50.142771,8.671828
1,50.142769,8.671812
2,50.142761,8.671738
3,50.14261,8.670608
4,50.14257,8.670622
5,50.14232,8.670715
6,50.142025,8.670809
7,50.141962,8.670832
8,50.141785,8.670936
9,50.140842,8.671501
10,50.140398,8.671767
11,50.140352,8.671794
12,50.140326,8.671695
13,50.140297,8.671581
14,50.140028,8.670552
15,50.139889,8.670353
16,50.139857,8.670249
17,50.139824,8.670125
18,50.140036,8.670006
19,50.140066,8.669989
20,50.140464,8.669756
21,50.140806,8.669569
22,50.141051,8.669427
23,50.141428,8.669232
24,50.14167,8.669113
25,50.141849,8.669032
26,50.142002,8.668963
27,50.142174,8.668924
28,50.142342,8.668905
29,50.142483,8.668895
30,50.142518,8.668892
31,50.14278,8.668882
32,50.143118,8.66886
33,50.14354,8.66878
34,50.143643,8.668744
35,50.143735,8.668713
36,50.144075,8.668542
37,50.14459,8.668308
38,50.144636,8.668295
39,50.144703,8.66829
40,50.144822,8.668244
41,50.144842,8.668233
42,50.144979,8.66813
43,50.145006,8.668114
44,50.145346,8.667965
45,50.145822,8.667743
46,50.14663,8.667376
47,50.146878,8.667265
48,50.146927,8.667243
49,50.147034,8.667177
50,50.147114,8.667128
51,50.147193,8.667078
52,50.147591,8.666803
53,50.147791,8.666731
54,50.147822,8.666726
55,50.147854,8.666728
56,50.147901,8.666752
57,50.147946,8.66679
58,50.148006,8.666864
59,50.148032,8.666969
60,50.148061,8.667073
61,50.148119,8.66728
62,50.148186,8.66749
63,50.148248,8.667704
64,50.148449,8.668621
65,50.148858,8.670447
66,50.14887,8.670505
67,50.148902,8.670655
68,50.148825,8.670682
69,50.148081,8.670947
70,50.147274,8.671218
71,50.147098,8.670212
72,50.147076,8.67003
73,50.146986,8.669505
74,50.146941,8.669224
75,50.146909,8.668999
76,50.146824,8.668506
77,50.146787,8.668284
78,50.146918,8.668232
